Country,Year,Total Population,projection,totalPop,
Norway,2004,  4 598,0,4598,
Norway,2005,  4 632,0,4632,
Norway,2006,  4 673,0,4673,
Norway,2007,  4 719,0,4719,
Norway,2008,  4 771,0,4771,
Norway,2009,  4 827,0,4827,
Norway,2010,  4 886,0,4886,
Norway,2011,  4 948,0,4948,
Norway,2012,  5 014,0,5014,
Norway,2013,  5 079,0,5079,
Norway,2014,  5 142,0,5142,
Norway,2015,  5 200,0,5200,
Norway,2016,  5 251,0,5251,
Norway,2017,  5 296,0,5296,
Norway,2018,  5 338,0,5338,
Norway,2019,  5 379,0,5379,
Norway,2020,  5 421,0,5421,
Portugal,1950,  8 417,0,8417,
Portugal,1951,  8 419,0,8419,
Portugal,1952,  8 452,0,8452,
Portugal,1953,  8 503,0,8503,
Portugal,1954,  8 564,0,8564,
Portugal,1955,  8 626,0,8626,
Portugal,1956,  8 683,0,8683,
Portugal,1957,  8 734,0,8734,
Portugal,1958,  8 778,0,8778,
Portugal,1959,  8 814,0,8814,
Portugal,1960,  8 845,0,8845,
Portugal,1961,  8 870,0,8870,
Portugal,1962,  8 889,0,8889,
Portugal,1963,  8 896,0,8896,
Portugal,1964,  8 888,0,8888,
Portugal,1965,  8 862,0,8862,
Portugal,1966,  8 815,0,8815,
Portugal,1967,  8 751,0,8751,
Portugal,1968,  8 688,0,8688,
Portugal,1969,  8 649,0,8649,
Portugal,1970,  8 651,0,8651,
Portugal,1971,  8 700,0,8700,
Portugal,1972,  8 789,0,8789,
Portugal,1973,  8 908,0,8908,
Portugal,1974,  9 040,0,9040,
Portugal,1975,  9 172,0,9172,
Portugal,1976,  9 302,0,9302,
Portugal,1977,  9 431,0,9431,
Portugal,1978,  9 553,0,9553,
Portugal,1979,  9 661,0,9661,
Portugal,1980,  9 751,0,9751,
Portugal,1981,  9 821,0,9821,
Portugal,1982,  9 871,0,9871,
Portugal,1983,  9 903,0,9903,
Portugal,1984,  9 921,0,9921,
Portugal,1985,  9 929,0,9929,
Portugal,1986,  9 926,0,9926,
Portugal,1987,  9 914,0,9914,
Portugal,1988,  9 899,0,9899,
Portugal,1989,  9 891,0,9891,
Portugal,1990,  9 895,0,9895,
Portugal,1991,  9 916,0,9916,
Portugal,1992,  9 951,0,9951,
Portugal,1993,  9 997,0,9997,
Portugal,1994,  10 045,0,10045,
Portugal,1995,  10 091,0,10091,
Portugal,1996,  10 134,0,10134,
Portugal,1997,  10 175,0,10175,
Portugal,1998,  10 214,0,10214,
Portugal,1999,  10 255,0,10255,
Portugal,2000,  10 297,0,10297,
Portugal,2001,  10 341,0,10341,
Portugal,2002,  10 386,0,10386,
Portugal,2003,  10 430,0,10430,
Portugal,2004,  10 471,0,10471,
Portugal,2005,  10 508,0,10508,
Portugal,2006,  10 543,0,10543,
Portugal,2007,  10 573,0,10573,
Portugal,2008,  10 595,0,10595,
Portugal,2009,  10 604,0,10604,
Portugal,2010,  10 596,0,10596,
Portugal,2011,  10 569,0,10569,
Portugal,2012,  10 526,0,10526,
Portugal,2013,  10 473,0,10473,
Portugal,2014,  10 418,0,10418,
Portugal,2015,  10 368,0,10368,
Portugal,2016,  10 326,0,10326,
Portugal,2017,  10 289,0,10289,
Portugal,2018,  10 256,0,10256,
Portugal,2019,  10 226,0,10226,
Portugal,2020,  10 197,0,10197,
Spain,1950,  28 070,0,28070,
Spain,1951,  28 220,0,28220,
Spain,1952,  28 399,0,28399,
Spain,1953,  28 600,0,28600,
Spain,1954,  28 818,0,28818,
Spain,1955,  29 048,0,29048,
Spain,1956,  29 290,0,29290,
Spain,1957,  29 544,0,29544,
Spain,1958,  29 811,0,29811,
Spain,1959,  30 097,0,30097,
Spain,1960,  30 402,0,30402,
Spain,1961,  30 730,0,30730,
Spain,1962,  31 075,0,31075,
Spain,1963,  31 433,0,31433,
Spain,1964,  31 792,0,31792,
Spain,1965,  32 146,0,32146,
Spain,1966,  32 492,0,32492,
Spain,1967,  32 830,0,32830,
Spain,1968,  33 169,0,33169,
Spain,1969,  33 518,0,33518,
Spain,1970,  33 884,0,33884,
Spain,1971,  34 267,0,34267,
Spain,1972,  34 664,0,34664,
Spain,1973,  35 069,0,35069,
Spain,1974,  35 476,0,35476,
Spain,1975,  35 879,0,35879,
Spain,1976,  36 277,0,36277,
Spain,1977,  36 667,0,36667,
Spain,1978,  37 040,0,37040,
Spain,1979,  37 387,0,37387,
Spain,1980,  37 698,0,37698,
Spain,1981,  37 972,0,37972,
Spain,1982,  38 210,0,38210,
Spain,1983,  38 413,0,38413,
Spain,1984,  38 587,0,38587,
Spain,1985,  38 734,0,38734,
Spain,1986,  38 856,0,38856,
Spain,1987,  38 954,0,38954,
Spain,1988,  39 039,0,39039,
Spain,1989,  39 119,0,39119,
Spain,1990,  39 203,0,39203,
Spain,1991,  39 299,0,39299,
Spain,1992,  39 411,0,39411,
Spain,1993,  39 534,0,39534,
Spain,1994,  39 660,0,39660,
Spain,1995,  39 787,0,39787,
Spain,1996,  39 909,0,39909,
Spain,1997,  40 035,0,40035,
Spain,1998,  40 202,0,40202,
Spain,1999,  40 454,0,40454,
Spain,2000,  40 825,0,40825,
Spain,2001,  41 319,0,41319,
Spain,2002,  41 920,0,41920,
Spain,2003,  42 596,0,42596,
Spain,2004,  43 308,0,43308,
Spain,2005,  44 019,0,44019,
Spain,2006,  44 729,0,44729,
Spain,2007,  45 429,0,45429,
Spain,2008,  46 069,0,46069,
Spain,2009,  46 584,0,46584,
Spain,2010,  46 931,0,46931,
Spain,2011,  47 084,0,47084,
Spain,2012,  47 063,0,47063,
Spain,2013,  46 931,0,46931,
Spain,2014,  46 778,0,46778,
Spain,2015,  46 672,0,46672,
Spain,2016,  46 634,0,46634,
Spain,2017,  46 647,0,46647,
Spain,2018,  46 693,0,46693,
Spain,2019,  46 737,0,46737,
Spain,2020,  46 755,0,46755,
Sweden,1950,  7 010,0,7010,
Sweden,1951,  7 073,0,7073,
Sweden,1952,  7 128,0,7128,
Sweden,1953,  7 176,0,7176,
Sweden,1954,  7 220,0,7220,
Sweden,1955,  7 263,0,7263,
Sweden,1956,  7 305,0,7305,
Sweden,1957,  7 347,0,7347,
Sweden,1958,  7 391,0,7391,
Sweden,1959,  7 436,0,7436,
Sweden,1960,  7 483,0,7483,
Sweden,1961,  7 530,0,7530,
Sweden,1962,  7 580,0,7580,
Sweden,1963,  7 631,0,7631,
Sweden,1964,  7 687,0,7687,
Sweden,1965,  7 746,0,7746,
Sweden,1966,  7 809,0,7809,
Sweden,1967,  7 876,0,7876,
Sweden,1968,  7 942,0,7942,
Sweden,1969,  8 003,0,8003,
Sweden,1970,  8 055,0,8055,
Sweden,1971,  8 096,0,8096,
Sweden,1972,  8 127,0,8127,
Sweden,1973,  8 152,0,8152,
Sweden,1974,  8 174,0,8174,
Sweden,1975,  8 197,0,8197,
Sweden,1976,  8 223,0,8223,
Sweden,1977,  8 251,0,8251,
Sweden,1978,  8 277,0,8277,
Sweden,1979,  8 300,0,8300,
Sweden,1980,  8 316,0,8316,
Sweden,1981,  8 325,0,8325,
Sweden,1982,  8 329,0,8329,
Sweden,1983,  8 332,0,8332,
Sweden,1984,  8 340,0,8340,
Sweden,1985,  8 358,0,8358,
Sweden,1986,  8 385,0,8385,
Sweden,1987,  8 421,0,8421,
Sweden,1988,  8 465,0,8465,
Sweden,1989,  8 514,0,8514,
Sweden,1990,  8 567,0,8567,
Sweden,1991,  8 625,0,8625,
Sweden,1992,  8 687,0,8687,
Sweden,1993,  8 747,0,8747,
Sweden,1994,  8 798,0,8798,
Sweden,1995,  8 836,0,8836,
Sweden,1996,  8 859,0,8859,
Sweden,1997,  8 869,0,8869,
Sweden,1998,  8 871,0,8871,
Sweden,1999,  8 873,0,8873,
Sweden,2000,  8 882,0,8882,
Sweden,2001,  8 898,0,8898,
Sweden,2002,  8 921,0,8921,
Sweden,2003,  8 951,0,8951,
Sweden,2004,  8 991,0,8991,
Sweden,2005,  9 039,0,9039,
Sweden,2006,  9 096,0,9096,
Sweden,2007,  9 163,0,9163,
Sweden,2008,  9 236,0,9236,
Sweden,2009,  9 313,0,9313,
Sweden,2010,  9 390,0,9390,
Sweden,2011,  9 467,0,9467,
Sweden,2012,  9 543,0,9543,
Sweden,2013,  9 618,0,9618,
Sweden,2014,  9 692,0,9692,
Sweden,2015,  9 765,0,9765,
Sweden,2016,  9 836,0,9836,
Sweden,2017,  9 905,0,9905,
Sweden,2018,  9 972,0,9972,
Sweden,2019,  10 036,0,10036,
Sweden,2020,  10 099,0,10099,
Switzerland,1950,  4 668,0,4668,
