Country,Time,GDP Growth
Portugal,2004,1.788735682
Portugal,2005,0.781848216
Portugal,2006,1.625034176
Portugal,2007,2.506579646
Portugal,2008,0.319247925
Portugal,2009,-3.12207942
Portugal,2010,1.737625476
Portugal,2011,-1.696164781
Portugal,2012,-4.057293608
Portugal,2013,-0.922644675
Portugal,2014,0.792190302
Portugal,2015,1.792046046
Portugal,2016,2.019485396
Portugal,2017,3.506345285
Portugal,2018,2.849325934
Portugal,2019,2.682759921
Romania,2000,2.461263459
Romania,2001,5.218136257
Romania,2002,5.70299165
Romania,2003,2.341147329
Romania,2004,10.42811302
Romania,2005,4.668148051
Romania,2006,8.028811076
Romania,2007,7.233807744
Romania,2008,9.307467171
Romania,2009,-5.517394408
Romania,2010,-3.90123628
Romania,2011,1.906067707
Romania,2012,2.040665131
Romania,2013,3.770962304
Romania,2014,3.608723653
Romania,2015,2.953674037
Romania,2016,4.702997747
Romania,2017,7.319448529
Romania,2018,4.474523775
Romania,2019,4.188260341
Russian Federation,2000,10.00006682
Russian Federation,2001,5.100051225
Russian Federation,2002,4.699991909
Russian Federation,2003,7.299952345
Russian Federation,2004,7.19994787
Russian Federation,2005,6.399965448
Russian Federation,2006,8.200068255
Russian Federation,2007,8.499977768
Russian Federation,2008,5.199969265
Russian Federation,2009,-7.799993913
Russian Federation,2010,4.5
Russian Federation,2011,4.300029186
Russian Federation,2012,4.024086157
Russian Federation,2013,1.755422149
Russian Federation,2014,0.736267221
Russian Federation,2015,-1.972719226
Russian Federation,2016,0.193690072
Russian Federation,2017,1.825790064
Russian Federation,2018,2.80724541
Russian Federation,2019,2.032982739
Serbia,2000,6.13181309
Serbia,2001,6.878774765
Serbia,2002,6.380405304
Serbia,2003,4.387757023
Serbia,2004,9.028196928
Serbia,2005,5.530347121
Serbia,2006,5.107790141
Serbia,2007,6.439525554
Serbia,2008,5.655576622
Serbia,2009,-2.731751989
Serbia,2010,0.731044553
Serbia,2011,2.036276689
Serbia,2012,-0.681542369
Serbia,2013,2.892636734
Serbia,2014,-1.58951032
Serbia,2015,1.806059265
Serbia,2016,3.338586765
Serbia,2017,2.101163847
Serbia,2018,4.495121293
Serbia,2019,4.331734906
Slovenia,2000,3.67237155
Slovenia,2001,3.216560335
Slovenia,2002,3.505598057
Slovenia,2003,2.960260286
Slovenia,2004,4.359192778
Slovenia,2005,3.797972642
Slovenia,2006,5.746396901
Slovenia,2007,6.980160755
Slovenia,2008,3.509841517
Slovenia,2009,-7.548437791
Slovenia,2010,1.343748472
Slovenia,2011,0.861327733
Slovenia,2012,-2.639438757
Slovenia,2013,-1.029282772
Slovenia,2014,2.768158831
Slovenia,2015,2.210081607
Slovenia,2016,3.191852518
Slovenia,2017,4.815380632
Slovenia,2018,4.422521568
Slovenia,2019,3.250531336
Slovak Republic,2000,1.166529073
Slovak Republic,2001,3.253784507
Slovak Republic,2002,4.509442607
Slovak Republic,2003,5.499084019
Slovak Republic,2004,5.278879546
Slovak Republic,2005,6.623462407
Slovak Republic,2006,8.49317632
Slovak Republic,2007,10.83202895
Slovak Republic,2008,5.574887267
Slovak Republic,2009,-5.455533722
Slovak Republic,2010,6.293285967
Slovak Republic,2011,2.637398428
Slovak Republic,2012,1.358226806
Slovak Republic,2013,0.654765294
Slovak Republic,2014,2.724373817
Slovak Republic,2015,5.215649803
Slovak Republic,2016,1.931680804
Slovak Republic,2017,2.980187073
Slovak Republic,2018,3.794410553
Slovak Republic,2019,2.605369328
Spain,2000,5.24599468
Spain,2001,3.932948843
Spain,2002,2.731022232
Spain,2003,2.981894836
Spain,2004,3.122795242
Spain,2005,3.652032674
Spain,2006,4.102727115
Spain,2007,3.604687971
Spain,2008,0.887145182
Spain,2009,-3.763231927
