date,cntas,country,asset,Year
08/06/2011,239396,Bank of England,311215,2011
01/06/2011,239390,Bank of England,311207,2011
25/05/2011,239608,Bank of England,311490,2011
18/05/2011,239889,Bank of England,311856,2011
11/05/2011,240210,Bank of England,312273,2011
04/05/2011,240123,Bank of England,312160,2011
27/04/2011,240221,Bank of England,312287,2011
20/04/2011,240529,Bank of England,312688,2011
13/04/2011,241573,Bank of England,314045,2011
06/04/2011,242189,Bank of England,314846,2011
30/03/2011,242484,Bank of England,315229,2011
23/03/2011,242592,Bank of England,315370,2011
16/03/2011,242580,Bank of England,315354,2011
09/03/2011,244526,Bank of England,317884,2011
02/03/2011,245070,Bank of England,318591,2011
23/02/2011,240835,Bank of England,313086,2011
16/02/2011,241642,Bank of England,314135,2011
09/02/2011,241891,Bank of England,314458,2011
02/02/2011,241131,Bank of England,313470,2011
26/01/2011,241619,Bank of England,314105,2011
19/01/2011,242903,Bank of England,315774,2011
12/01/2011,244961,Bank of England,318449,2011
05/01/2011,246545,Bank of England,320509,2011
29/12/2010,246906,Bank of England,320978,2010
22/12/2010,247086,Bank of England,321212,2010
15/12/2010,246304,Bank of England,320195,2010
08/12/2010,245619,Bank of England,319305,2010
01/12/2010,245366,Bank of England,318976,2010
24/11/2010,245793,Bank of England,319531,2010
17/11/2010,242672,Bank of England,315474,2010
10/11/2010,244167,Bank of England,317417,2010
03/11/2010,244365,Bank of England,317675,2010
27/10/2010,244163,Bank of England,317412,2010
20/10/2010,243985,Bank of England,317181,2010
13/10/2010,243745,Bank of England,316869,2010
06/10/2010,244458,Bank of England,317795,2010
29/09/2010,244854,Bank of England,318310,2010
22/09/2010,244657,Bank of England,318054,2010
15/09/2010,245500,Bank of England,319150,2010
08/09/2010,247935,Bank of England,322316,2010
01/09/2010,247462,Bank of England,321701,2010
25/08/2010,247709,Bank of England,322022,2010
18/08/2010,249917,Bank of England,324892,2010
11/08/2010,250960,Bank of England,326248,2010
04/08/2010,251463,Bank of England,326902,2010
28/07/2010,252152,Bank of England,327798,2010
21/07/2010,251917,Bank of England,327492,2010
14/07/2010,249861,Bank of England,324819,2010
07/07/2010,250181,Bank of England,325235,2010
30/06/2010,250671,Bank of England,325872,2010
23/06/2010,251394,Bank of England,326812,2010
16/06/2010,250655,Bank of England,325852,2010
09/06/2010,251255,Bank of England,326632,2010
02/06/2010,252010,Bank of England,327613,2010
26/05/2010,252302,Bank of England,327993,2010
19/05/2010,251165,Bank of England,326515,2010
12/05/2010,249927,Bank of England,324905,2010
05/05/2010,249541,Bank of England,324403,2010
28/04/2010,249906,Bank of England,324878,2010
21/04/2010,250180,Bank of England,325234,2010
14/04/2010,250312,Bank of England,325406,2010
07/04/2010,251670,Bank of England,327171,2010
31/03/2010,252336,Bank of England,328037,2010
24/03/2010,251621,Bank of England,327107,2010
17/03/2010,249470,Bank of England,324311,2010
10/03/2010,250553,Bank of England,325719,2010
03/03/2010,248275,Bank of England,322758,2010
24/02/2010,247966,Bank of England,322356,2010
17/02/2010,247280,Bank of England,321464,2010
10/02/2010,245950,Bank of England,319735,2010
03/02/2010,250690,Bank of England,325897,2010
27/01/2010,249695,Bank of England,324604,2010
20/01/2010,245484,Bank of England,319129,2010
13/01/2010,241940,Bank of England,314522,2010
06/01/2010,237756,Bank of England,309083,2010
30/12/2009,237694,Bank of England,309002,2009
23/12/2009,237966,Bank of England,309356,2009
16/12/2009,240431,Bank of England,312560,2009
09/12/2009,238787,Bank of England,310423,2009
02/12/2009,239261,Bank of England,311039,2009
25/11/2009,234631,Bank of England,305020,2009
18/11/2009,235221,Bank of England,305787,2009
11/11/2009,233543,Bank of England,303606,2009
04/11/2009,236942,Bank of England,308025,2009
28/10/2009,235345,Bank of England,305949,2009
21/10/2009,229966,Bank of England,298956,2009
14/10/2009,225173,Bank of England,292725,2009
07/10/2009,222200,Bank of England,288860,2009
30/09/2009,226407,Bank of England,294329,2009
23/09/2009,222713,Bank of England,289527,2009
16/09/2009,225989,Bank of England,293786,2009
09/09/2009,221225,Bank of England,287593,2009
02/09/2009,221614,Bank of England,288098,2009
26/08/2009,220252,Bank of England,286328,2009
19/08/2009,220511,Bank of England,286664,2009
12/08/2009,217354,Bank of England,282560,2009
05/08/2009,246639,Bank of England,320631,2009
29/07/2009,245318,Bank of England,318913,2009
22/07/2009,241789,Bank of England,314326,2009
15/07/2009,237695,Bank of England,309004,2009
08/07/2009,233730,Bank of England,303849,2009
01/07/2009,226582,Bank of England,294557,2009
24/06/2009,220105,Bank of England,286137,2009
17/06/2009,222718,Bank of England,289533,2009
10/06/2009,217030,Bank of England,282139,2009
03/06/2009,220596,Bank of England,286775,2009
27/05/2009,211324,Bank of England,274721,2009
20/05/2009,221122,Bank of England,287459,2009
13/05/2009,215150,Bank of England,279695,2009
06/05/2009,218178,Bank of England,283631,2009
29/04/2009,212569,Bank of England,276340,2009
22/04/2009,209908,Bank of England,272880,2009
15/04/2009,198920,Bank of England,258596,2009
08/04/2009,214054,Bank of England,278270,2009
01/04/2009,189396,Bank of England,246215,2009
25/03/2009,181515,Bank of England,235970,2009
18/03/2009,173360,Bank of England,225368,2009
11/03/2009,184579,Bank of England,239953,2009
04/03/2009,167018,Bank of England,217123,2009
25/02/2009,177051,Bank of England,230166,2009
18/02/2009,168404,Bank of England,218925,2009
11/02/2009,181582,Bank of England,236057,2009
04/02/2009,174267,Bank of England,226547,2009
28/01/2009,189522,Bank of England,246379,2009
21/01/2009,218961,Bank of England,284649,2009
14/01/2009,257785,Bank of England,335121,2009
07/01/2009,237516,Bank of England,308771,2009
31/12/2008,238490,Bank of England,310037,2008
24/12/2008,237149,Bank of England,308294,2008
17/12/2008,225363,Bank of England,292972,2008
10/12/2008,235801,Bank of England,306541,2008
03/12/2008,259154,Bank of England,336900,2008
26/11/2008,239049,Bank of England,310764,2008
19/11/2008,262563,Bank of England,341332,2008
12/11/2008,236729,Bank of England,307748,2008
05/11/2008,251070,Bank of England,326391,2008
29/10/2008,266396,Bank of England,346315,2008
22/10/2008,292467,Bank of England,380207,2008
15/10/2008,276747,Bank of England,359771,2008
08/10/2008,199198,Bank of England,258957,2008
01/10/2008,186592,Bank of England,242570,2008
24/09/2008,137685,Bank of England,178991,2008
17/09/2008,118031,Bank of England,153440,2008
10/09/2008,93175,Bank of England,121128,2008
03/09/2008,97746,Bank of England,127070,2008
27/08/2008,93234,Bank of England,121204,2008
20/08/2008,93428,Bank of England,121456,2008
13/08/2008,92592,Bank of England,120370,2008
06/08/2008,95574,Bank of England,124246,2008
30/07/2008,93978,Bank of England,122171,2008
23/07/2008,91925,Bank of England,119503,2008
16/07/2008,90891,Bank of England,118158,2008
09/07/2008,92391,Bank of England,120108,2008
02/07/2008,89949,Bank of England,116934,2008
25/06/2008,91837,Bank of England,119388,2008
18/06/2008,86949,Bank of England,113034,2008
11/06/2008,93223,Bank of England,121190,2008
04/06/2008,99994,Bank of England,129992,2008
28/05/2008,93029,Bank of England,120938,2008
21/05/2008,94366,Bank of England,122676,2008
14/05/2008,95142,Bank of England,123685,2008
07/05/2008,100916,Bank of England,131191,2008
30/04/2008,92247,Bank of England,119921,2008
23/04/2008,96747,Bank of England,125771,2008
16/04/2008,99487,Bank of England,129333,2008
09/04/2008,98497,Bank of England,128046,2008
02/04/2008,100449,Bank of England,130584,2008
26/03/2008,98805,Bank of England,128447,2008
19/03/2008,102178,Bank of England,132831,2008
12/03/2008,97228,Bank of England,126396,2008
05/03/2008,105954,Bank of England,137740,2008
27/02/2008,96452,Bank of England,125388,2008
20/02/2008,97616,Bank of England,126901,2008
13/02/2008,96310,Bank of England,125203,2008
06/02/2008,95957,Bank of England,124744,2008
30/01/2008,94098,Bank of England,122327,2008
23/01/2008,102157,Bank of England,132804,2008
16/01/2008,96586,Bank of England,125562,2008
09/01/2008,101895,Bank of England,132464,2008
02/01/2008,101034,Bank of England,131344,2008
26/12/2007,102241,Bank of England,132913,2007
24/12/2007,102241,Bank of England,132913,2007
19/12/2007,107596,Bank of England,139875,2007
12/12/2007,97279,Bank of England,126463,2007
05/12/2007,96315,Bank of England,125210,2007
28/11/2007,96810,Bank of England,125853,2007
21/11/2007,97547,Bank of England,126811,2007
14/11/2007,95862,Bank of England,124621,2007
07/11/2007,93838,Bank of England,121989,2007
31/10/2007,92533,Bank of England,120293,2007
24/10/2007,95361,Bank of England,123969,2007
17/10/2007,91678,Bank of England,119181,2007
10/10/2007,89805,Bank of England,116747,2007
03/10/2007,93622,Bank of England,121709,2007
26/09/2007,98081,Bank of England,127505,2007
19/09/2007,95034,Bank of England,123544,2007
12/09/2007,83779,Bank of England,108913,2007
05/09/2007,84220,Bank of England,109486,2007
29/08/2007,83222,Bank of England,108189,2007
22/08/2007,80087,Bank of England,104113,2007
15/08/2007,81676,Bank of England,106179,2007
08/08/2007,80845,Bank of England,105099,2007
01/08/2007,81843,Bank of England,106396,2007
25/07/2007,80275,Bank of England,104358,2007
18/07/2007,80030,Bank of England,104039,2007
